"Date","Price","Open","High","Low","Change %"
"10/08/2018","1.200","1.200","1.200","1.200","0.00%"
"10/05/2018","1.200","1.200","1.200","1.200","0.00%"
"10/04/2018","1.200","1.200","1.200","1.200","0.00%"
"10/03/2018","1.200","1.200","1.200","1.200","0.00%"
"10/02/2018","1.200","1.200","1.200","1.200","0.00%"
"10/01/2018","1.200","1.200","1.200","1.200","0.00%"
"09/28/2018","1.200","1.200","1.200","1.200","0.00%"
"09/27/2018","1.200","1.200","1.200","1.200","0.00%"
"09/26/2018","1.200","1.200","1.200","1.200","0.00%"
"09/25/2018","1.200","1.200","1.200","1.200","0.00%"
"09/21/2018","1.200","1.200","1.200","1.200","0.00%"
"09/20/2018","1.200","1.200","1.200","1.200","0.00%"
"09/19/2018","1.200","1.200","1.200","1.200","0.00%"
"09/18/2018","1.200","1.200","1.200","1.200","0.00%"
"09/17/2018","1.200","1.200","1.200","1.200","0.00%"
"09/14/2018","1.200","1.200","1.200","1.200","0.00%"
"09/13/2018","1.200","1.200","1.200","1.200","0.00%"
"09/12/2018","1.200","1.200","1.200","1.200","0.00%"
"09/11/2018","1.200","1.200","1.200","1.200","0.00%"
"09/10/2018","1.200","1.200","1.200","1.200","0.00%"
"09/07/2018","1.200","1.200","1.200","1.200","0.00%"
"09/06/2018","1.200","1.200","1.200","1.200","0.00%"
"09/05/2018","1.200","1.200","1.200","1.200","0.00%"
"09/04/2018","1.200","1.200","1.200","1.200","0.00%"
"09/03/2018","1.200","1.200","1.200","1.200","0.00%"
"08/31/2018","1.200","1.200","1.200","1.200","0.00%"
"08/30/2018","1.200","1.200","1.200","1.200","0.00%"
"08/29/2018","1.200","1.200","1.200","1.200","0.00%"
"08/28/2018","1.200","1.200","1.200","1.200","0.00%"
"08/27/2018","1.200","1.200","1.200","1.200","0.00%"
"08/24/2018","1.200","1.200","1.200","1.200","0.00%"
"08/23/2018","1.200","1.200","1.200","1.200","0.00%"
"08/22/2018","1.200","1.200","1.200","1.200","0.00%"
"08/21/2018","1.200","1.200","1.200","1.200","0.00%"
"08/20/2018","1.200","1.200","1.200","1.200","0.00%"
"08/17/2018","1.200","1.200","1.200","1.200","0.00%"
"08/16/2018","1.200","1.200","1.200","1.200","0.00%"
"08/15/2018","1.200","1.200","1.200","1.200","0.00%"
"08/14/2018","1.200","1.200","1.200","1.200","0.00%"
"08/13/2018","1.200","1.200","1.200","1.200","0.00%"
"08/10/2018","1.200","1.200","1.200","1.200","0.00%"
"08/09/2018","1.200","1.200","1.200","1.200","0.00%"
"08/08/2018","1.200","1.200","1.200","1.200","0.00%"
"08/07/2018","1.200","1.200","1.200","1.200","0.00%"
"08/06/2018","1.200","1.200","1.200","1.200","0.00%"
"08/03/2018","1.200","1.200","1.200","1.200","0.00%"
"08/02/2018","1.200","1.200","1.200","1.200","0.00%"
"08/01/2018","1.200","1.200","1.200","1.200","0.00%"
"07/31/2018","1.200","1.200","1.200","1.200","0.00%"
"07/30/2018","1.200","1.200","1.200","1.200","0.00%"
"07/27/2018","1.200","1.200","1.200","1.200","4.35%"
"07/26/2018","1.150","1.150","1.150","1.150","0.00%"
"07/25/2018","1.150","1.150","1.150","1.150","0.00%"
"07/24/2018","1.150","1.150","1.150","1.150","0.00%"
"07/23/2018","1.150","1.150","1.150","1.150","0.00%"
"07/20/2018","1.150","1.150","1.150","1.150","0.00%"
"07/19/2018","1.150","1.150","1.150","1.150","0.00%"
"07/18/2018","1.150","1.150","1.150","1.150","0.00%"
"07/17/2018","1.150","1.150","1.150","1.150","0.00%"
"07/16/2018","1.150","1.150","1.150","1.150","0.00%"
"07/13/2018","1.150","1.150","1.150","1.150","0.00%"
"07/12/2018","1.150","1.150","1.150","1.150","0.00%"
"07/11/2018","1.150","1.150","1.150","1.150","0.00%"
"07/10/2018","1.150","1.150","1.150","1.150","9.52%"
"07/09/2018","1.050","1.050","1.050","1.050","0.00%"
"07/06/2018","1.050","1.050","1.050","1.050","0.00%"
"07/05/2018","1.050","1.050","1.050","1.050","0.00%"
"07/04/2018","1.050","1.050","1.050","1.050","0.00%"
"07/03/2018","1.050","1.050","1.050","1.050","0.00%"
