"Date","Price","Open","High","Low","Change %"
"03/09/2017","1.21","1.17","1.21","1.13","5.22%"
"03/08/2017","1.15","1.14","1.16","1.12","3.60%"
"03/07/2017","1.11","1.12","1.15","1.10","-1.77%"
"03/06/2017","1.13","1.15","1.16","1.12","-1.74%"
"03/03/2017","1.15","1.13","1.16","1.06","4.55%"
"03/02/2017","1.10","1.09","1.13","1.08","0.92%"
"03/01/2017","1.09","1.07","1.10","1.04","3.81%"
"02/28/2017","1.05","1.06","1.08","1.02","2.94%"
"02/27/2017","1.02","1.03","1.07","1.02","-4.67%"
"02/24/2017","1.07","1.09","1.10","1.02","1.90%"
"02/23/2017","1.05","1.14","1.14","1.05","-2.78%"
"02/22/2017","1.08","1.19","1.20","1.07","-10.00%"
"02/21/2017","1.20","1.20","1.22","1.11","9.09%"
"02/20/2017","1.10","1.12","1.20","1.09","-6.78%"
"02/17/2017","1.18","1.11","1.19","1.09","7.27%"
"02/16/2017","1.10","1.17","1.20","1.10","-2.65%"
"02/15/2017","1.13","1.17","1.19","1.12","-1.74%"
"02/14/2017","1.15","1.13","1.17","1.10","3.60%"
"02/13/2017","1.11","1.09","1.16","1.08","2.78%"
"02/10/2017","1.08","1.11","1.13","1.07","-0.92%"
"02/09/2017","1.09","1.10","1.11","1.04","2.83%"
"02/08/2017","1.06","1.14","1.19","1.04","-4.50%"
"02/07/2017","1.11","1.12","1.14","1.06","0.91%"
"02/06/2017","1.10","1.13","1.13","1.04","1.85%"
"02/03/2017","1.08","1.10","1.15","1.07","0.00%"
"02/02/2017","1.08","1.16","1.16","1.07","-3.57%"
"02/01/2017","1.12","1.16","1.17","1.10","2.75%"
"01/31/2017","1.09","1.14","1.17","1.08","-0.91%"
"01/30/2017","1.10","1.17","1.20","1.09","-3.51%"
"01/27/2017","1.14","1.15","1.18","1.13","-1.72%"
"01/26/2017","1.16","1.17","1.18","1.13","0.00%"
"01/25/2017","1.16","1.14","1.16","1.11","4.50%"
"01/24/2017","1.11","1.08","1.11","1.07","2.78%"
"01/23/2017","1.08","1.11","1.14","1.07","-3.57%"
"01/20/2017","1.12","1.07","1.14","1.06","3.70%"
"01/19/2017","1.08","1.06","1.11","1.06","2.86%"
"01/18/2017","1.05","1.06","1.07","1.04","1.94%"
"01/17/2017","1.03","1.03","1.05","1.01","-1.90%"
"01/16/2017","1.05","1.05","1.08","1.04","-0.94%"
"01/13/2017","1.06","1.04","1.08","1.03","1.92%"
"01/12/2017","1.04","1.01","1.06","1.00","0.97%"
"01/11/2017","1.03","1.05","1.07","1.02","-2.83%"
"01/10/2017","1.06","1.06","1.07","1.03","0.00%"
"01/09/2017","1.06","1.08","1.08","1.04","2.91%"
"01/05/2017","1.03","1.07","1.09","1.03","-1.90%"
"01/04/2017","1.05","1.03","1.06","1.02","0.96%"
"01/03/2017","1.04","0.95","1.06","0.95","8.33%"
"01/02/2017","0.96","0.97","0.97","0.92","-1.03%"
"12/30/2016","0.97","0.97","0.99","0.93","1.04%"
"12/29/2016","0.96","0.93","0.98","0.93","-3.03%"
"12/28/2016","0.99","0.98","1.00","0.94","-1.00%"
"12/27/2016","1.00","0.98","1.05","0.94","0.00%"
"12/23/2016","1.00","1.03","1.03","0.98","-2.91%"
"12/22/2016","1.03","1.02","1.05","0.97","0.98%"
"12/21/2016","1.02","1.03","1.06","0.99","-2.86%"
"12/20/2016","1.05","1.05","1.08","1.01","2.94%"
"12/19/2016","1.02","1.09","1.10","1.02","-6.42%"
"12/16/2016","1.09","1.10","1.13","1.06","-0.91%"
"12/15/2016","1.10","1.14","1.16","1.09","2.80%"
"12/14/2016","1.07","1.09","1.11","1.05","-4.46%"
"12/13/2016","1.12","1.16","1.20","1.10","-5.88%"
"12/12/2016","1.19","1.21","1.22","1.17","7.21%"
"12/09/2016","1.11","1.14","1.15","1.07","-1.77%"
"12/08/2016","1.13","1.10","1.16","1.07","5.61%"
"12/07/2016","1.07","1.10","1.11","1.05","-2.73%"
"12/06/2016","1.10","1.07","1.12","1.03","2.80%"
"12/05/2016","1.07","1.07","1.12","1.05","2.88%"
"12/02/2016","1.04","1.09","1.12","1.02","-7.96%"
"12/01/2016","1.13","1.04","1.13","1.02","8.65%"
"11/30/2016","1.04","0.99","1.04","0.96","6.12%"
"11/29/2016","0.98","0.98","1.02","0.96","0.00%"
"11/28/2016","0.98","0.97","1.00","0.96","-2.00%"
"11/25/2016","1.00","0.97","1.02","0.96","3.09%"
"11/24/2016","0.97","0.95","0.97","0.94","-1.02%"
"11/23/2016","0.98","0.93","1.00","0.90","6.52%"
"11/22/2016","0.92","0.90","0.94","0.89","-1.08%"
"11/21/2016","0.93","0.93","0.95","0.89","1.09%"
"11/18/2016","0.92","0.96","0.97","0.88","0.00%"
"11/16/2016","0.92","0.93","0.95","0.89","2.22%"
"11/15/2016","0.90","0.91","0.93","0.88","-2.17%"
"11/14/2016","0.92","0.91","0.96","0.87","4.55%"
"11/11/2016","0.88","0.87","0.93","0.85","6.02%"
"11/10/2016","0.83","0.72","0.84","0.71","22.06%"
"11/09/2016","0.68","0.63","0.70","0.62","4.62%"
"11/08/2016","0.65","0.59","0.67","0.59","4.84%"
"11/07/2016","0.62","0.64","0.64","0.57","10.71%"
"11/04/2016","0.56","0.61","0.64","0.55","-8.20%"
"11/03/2016","0.61","0.60","0.62","0.56","5.17%"
"11/02/2016","0.58","0.60","0.61","0.54","-4.92%"
"10/31/2016","0.61","0.61","0.62","0.57","1.67%"
"10/28/2016","0.60","0.61","0.66","0.58","-1.64%"
"10/27/2016","0.61","0.55","0.63","0.51","15.09%"
"10/26/2016","0.53","0.48","0.55","0.44","8.16%"
"10/25/2016","0.49","0.48","0.50","0.43","8.89%"
"10/24/2016","0.45","0.48","0.51","0.41","-6.25%"
"10/21/2016","0.48","0.48","0.50","0.43","2.13%"
