date,country,country_code,inflation_hicp
2016-05-01,Slovakia,SK,-0.7
2016-06-01,Slovakia,SK,-0.7
2016-07-01,Slovakia,SK,-0.9
2016-08-01,Slovakia,SK,-0.8
2016-09-01,Slovakia,SK,-0.5
2016-10-01,Slovakia,SK,-0.3
2016-11-01,Slovakia,SK,-0.2
2016-12-01,Slovakia,SK,0.2
2017-01-01,Slovakia,SK,0.8
2017-02-01,Slovakia,SK,1.2
2017-03-01,Slovakia,SK,1.0
2017-04-01,Slovakia,SK,0.8
2017-05-01,Slovakia,SK,1.1
2017-06-01,Slovakia,SK,1.0
2017-07-01,Slovakia,SK,1.5
2017-08-01,Slovakia,SK,1.6
2017-09-01,Slovakia,SK,1.8
2017-10-01,Slovakia,SK,1.8
2017-11-01,Slovakia,SK,2.1
2017-12-01,Slovakia,SK,2.0
2018-01-01,Slovakia,SK,2.6
2018-02-01,Slovakia,SK,2.2
2018-03-01,Slovakia,SK,2.5
2018-04-01,Slovakia,SK,3.0
2018-05-01,Slovakia,SK,2.7
2018-06-01,Slovakia,SK,2.9
2018-07-01,Slovakia,SK,2.6
2018-08-01,Slovakia,SK,2.9
2018-09-01,Slovakia,SK,2.7
2018-10-01,Slovakia,SK,2.5
2018-11-01,Slovakia,SK,2.0
2018-12-01,Slovakia,SK,1.9
2019-01-01,Slovakia,SK,2.2
2019-02-01,Slovakia,SK,2.3
2019-03-01,Slovakia,SK,2.7
2019-04-01,Slovakia,SK,2.4
2019-05-01,Slovakia,SK,2.7
2019-06-01,Slovakia,SK,2.7
2019-07-01,Slovakia,SK,3.0
2019-08-01,Slovakia,SK,3.0
2019-09-01,Slovakia,SK,3.0
2019-10-01,Slovakia,SK,2.9
2019-11-01,Slovakia,SK,3.2
2019-12-01,Slovakia,SK,3.2
2020-01-01,Slovakia,SK,3.2
2020-02-01,Slovakia,SK,3.1
2020-03-01,Slovakia,SK,2.4
2020-04-01,Slovakia,SK,2.1
2020-05-01,Slovakia,SK,2.1
2020-06-01,Slovakia,SK,1.8
2020-07-01,Slovakia,SK,1.8
2020-08-01,Slovakia,SK,1.4
2020-09-01,Slovakia,SK,1.4
2020-10-01,Slovakia,SK,1.6
2020-11-01,Slovakia,SK,1.6
2020-12-01,Slovakia,SK,1.6
2021-01-01,Slovakia,SK,0.7
2021-02-01,Slovakia,SK,0.9
2021-03-01,Slovakia,SK,1.5
2021-04-01,Slovakia,SK,1.7
2021-05-01,Slovakia,SK,2.0
2021-06-01,Slovakia,SK,2.5
2021-07-01,Slovakia,SK,2.9
2021-08-01,Slovakia,SK,3.3
2021-09-01,Slovakia,SK,4.0
2021-10-01,Slovakia,SK,4.4
2021-11-01,Slovakia,SK,4.8
2021-12-01,Slovakia,SK,5.1
